Name,Address,Latitude,Longitude
Patteson Court Landfill Site,,51.2434525,-0.1497989
Rubbish Dumped,,51.4085958,-0.1901102
A1 Carlton Doyle Waste Management,,51.5242914,-0.2147839
Snap Skips for Rent in Brighton,,50.8423279,-0.09471099999999999
Linford Civic Amenity Site,,51.5054557,0.4061478
Greenford Re-use and Recyling Centre,,51.5240946,-0.351202
Townmead Road Re-use and Recycling Centre,,51.4752831,-0.274626
Western Riverside Waste Authority Recycling Facility,,51.462497,-0.1910806
Woking Community Recycling Centre,,51.34121020000001,-0.5385580999999999
Purley Oaks Household Reuse and Recycling Centre,,51.3453014,-0.1038997
Waldo Road Reuse and Recycling Centre (Bromley),,51.3989654,0.0349397
Fishers Farm Household reuse and recycling centres,,51.3417575,-0.0198872
Chalvey Household Waste Recycling Centre,,51.5030505,-0.6094206999999999
Churchfields Road Reuse and Recycling Centre (Beckenham) recycling site,,51.4047914,-0.0472215
Greenwich Reuse And Recycling Centre,,51.4964763,0.1062015
East Grinstead Recycling Centre,,51.1173545,-0.0310136
Langley Household Recycling Centre,,51.5102043,-0.54175
Factory Lane Reuse and Recycling Centre,,51.3774419,-0.1146964
Dorking Community Recycling Centre,,51.238808,-0.34116
Lyne Community Recycling Centre,,51.3960307,-0.5394622
Burgess Hill Recycling Centre,,50.96745180000001,-0.1327687
Nunnington Close (Mottingham) recycling site,,51.4313298,0.0464882
Guildford Community Recycling Centre,,51.2596464,-0.5619469
Eastbourne Household Waste Recycling Site,,50.7825656,0.2976996
Household Reuse and Recycling Centre,,51.4029807,-0.2902686
space waye recycling centre,,51.46321020000001,-0.4097929
Hastings Household Waste Recycling Site,,50.851534,0.513147
Bagshot Community Recycling Centre,,51.360293,-0.6781252999999999
The Yard Recycling Centre,,51.5306378,-0.4480231
Danjo's Skip Hire Ltd,,51.378378,-0.118049
Greener Ealing Ltd,,51.5132043,-0.3088469
