Area code,Area name,Time period,Value (score out of 10),Confidence interval lower,Confidence interval upper
E06000001,Hartlepool,2022-23,7.57,7.31,7.83
E06000002,Middlesbrough,2022-23,7.05,6.73,7.37
E06000003,Redcar and Cleveland,2022-23,7.49,7.22,7.76
E06000004,Stockton-on-Tees,2022-23,7.29,7.02,7.55
E06000005,Darlington,2022-23,7.17,6.9,7.44
E06000006,Halton,2022-23,7.45,7.18,7.71
E06000007,Warrington,2022-23,7.32,7.09,7.55
E06000008,Blackburn with Darwen,2022-23,7.43,7.16,7.71
E06000009,Blackpool,2022-23,7.31,7.08,7.54
E06000010,Kingston upon Hull,2022-23,7.32,7.05,7.58
E06000011,East Riding of Yorkshire,2022-23,7.3,7.06,7.54
E06000012,North East Lincolnshire,2022-23,7.82,7.6,8.03
E06000013,North Lincolnshire,2022-23,7.55,7.25,7.86
E06000014,York,2022-23,7.45,7.23,7.67
E06000015,Derby,2022-23,7.28,6.99,7.57
E06000016,Leicester,2022-23,7.24,6.89,7.58
E06000017,Rutland,2022-23,7.7,7.38,8.03
E06000018,Nottingham,2022-23,7.24,6.92,7.56
E06000019,Herefordshire,2022-23,7.64,7.41,7.87
E06000020,Telford and Wrekin,2022-23,7.52,7.29,7.75
E06000021,Stoke-on-Trent,2022-23,7.32,7.03,7.62
E06000022,Bath and North East Somerset,2022-23,7.2,6.84,7.55
E06000023,Bristol,2022-23,7.2,6.65,7.74
E06000024,North Somerset,2022-23,7.6,7.36,7.84
E06000025,South Gloucestershire,2022-23,7.36,7.12,7.6
E06000026,Plymouth,2022-23,7.71,7.49,7.93
E06000027,Torbay,2022-23,7.39,7.16,7.61
E06000030,Swindon,2022-23,7.43,7.16,7.7
E06000031,Peterborough,2022-23,7.14,6.87,7.4
E06000032,Luton,2022-23,7.64,7.37,7.91
E06000033,Southend-on-Sea,2022-23,7.31,7,7.62
E06000034,Thurrock,2022-23,7.51,7.29,7.74
E06000035,Medway,2022-23,7.29,7.04,7.54
E06000036,Bracknell Forest,2022-23,7.67,7.42,7.93
E06000037,West Berkshire,2022-23,7.44,7.18,7.7
E06000038,Reading,2022-23,7.42,7.12,7.71
E06000039,Slough,2022-23,7.4,7.05,7.76
E06000040,Windsor and Maidenhead,2022-23,7.49,7.26,7.72
E06000041,Wokingham,2022-23,7.42,7.14,7.69
E06000042,Milton Keynes,2022-23,7.4,7.19,7.61
E06000043,Brighton and Hove,2022-23,7.03,6.63,7.42
E06000044,Portsmouth,2022-23,7.37,7.1,7.65
E06000045,Southampton,2022-23,7.07,6.78,7.35
E06000046,Isle of Wight,2022-23,7.53,7.33,7.72
E06000047,County Durham,2022-23,7.37,7.13,7.62
E06000049,Cheshire East,2022-23,7.56,7.18,7.94
E06000050,Cheshire West and Chester,2022-23,7.29,6.9,7.67
E06000051,Shropshire,2022-23,7.66,7.45,7.88
E06000052,Cornwall,2022-23,7.51,7.31,7.71
E06000054,Wiltshire,2022-23,7.35,7.08,7.62
E06000055,Bedford,2022-23,7.59,7.24,7.94
E06000056,Central Bedfordshire,2022-23,7.28,7.03,7.53
E06000057,Northumberland,2022-23,7.56,7.32,7.81
E06000058,"Bournemouth, Christchurch and Poole",2022-23,7.37,7.18,7.56
E06000059,Dorset,2022-23,7.63,7.44,7.81
E06000060,Buckinghamshire,2022-23,7.47,7.23,7.71
E06000061,North Northamptonshire,2022-23,7.09,6.64,7.55
E06000062,West Northamptonshire,2022-23,7.44,7.02,7.85
E07000008,Cambridge,2022-23,7.02,6.26,7.77
E07000009,East Cambridgeshire,2022-23,7.77,7.28,8.25
E07000010,Fenland,2022-23,7.57,7.1,8.04
E07000011,Huntingdonshire,2022-23,7.3,6.92,7.69
E07000012,South Cambridgeshire,2022-23,7.09,6.75,7.42
E07000026,Allerdale,2022-23,6.95,5.98,7.93
E07000027,Barrow-in-Furness,2022-23,7.24,6.41,8.07
E07000028,Carlisle,2022-23,7.9,7.54,8.26
E07000029,Copeland,2022-23,7.65,7.04,8.26
E07000030,Eden,2022-23,7.74,7.16,8.31
E07000031,South Lakeland,2022-23,7.63,7.24,8.02
E07000032,Amber Valley,2022-23,7.58,7.2,7.96
E07000033,Bolsover,2022-23,7.05,6.33,7.76
E07000034,Chesterfield,2022-23,7.29,6.69,7.9
E07000035,Derbyshire Dales,2022-23,7.39,6.77,8
E07000036,Erewash,2022-23,7.52,7.08,7.97
E07000037,High Peak,2022-23,7.58,7.16,7.99
E07000038,North East Derbyshire,2022-23,7.61,7.16,8.05
E07000039,South Derbyshire,2022-23,7.67,7.22,8.13
E07000040,East Devon,2022-23,7.73,7.39,8.07
E07000041,Exeter,2022-23,7.34,6.9,7.78
E07000042,Mid Devon,2022-23,7.25,6.64,7.85
E07000043,North Devon,2022-23,7.56,7.19,7.93
E07000044,South Hams,2022-23,6.9,6.45,7.36
E07000045,Teignbridge,2022-23,7.17,6.78,7.56
E07000046,Torridge,2022-23,8.05,7.48,8.62
E07000061,Eastbourne,2022-23,6.57,5.46,7.68
E07000062,Hastings,2022-23,6.56,5.83,7.29
E07000063,Lewes,2022-23,7.47,6.9,8.04
E07000064,Rother,2022-23,7.29,6.72,7.86
E07000065,Wealden,2022-23,7.63,7.34,7.92
E07000066,Basildon,2022-23,7.43,6.98,7.88
E07000067,Braintree,2022-23,7.57,7.1,8.04
E07000068,Brentwood,2022-23,7.78,7.3,8.25
E07000069,Castle Point,2022-23,7.58,7,8.15
E07000070,Chelmsford,2022-23,7.79,7.45,8.12
E07000071,Colchester,2022-23,7.56,7.13,7.98
E07000072,Epping Forest,2022-23,7.58,7.01,8.16
E07000075,Rochford,2022-23,7.28,6.54,8.03
E07000076,Tendring,2022-23,7.06,6.63,7.49
E07000077,Uttlesford,2022-23,7.29,6.59,8
E07000078,Cheltenham,2022-23,7.73,7.35,8.11
E07000079,Cotswold,2022-23,7.49,7.07,7.92
E07000080,Forest of Dean,2022-23,7.02,6.41,7.64
E07000081,Gloucester,2022-23,7.38,6.98,7.78
E07000082,Stroud,2022-23,7.09,6.68,7.49
E07000083,Tewkesbury,2022-23,7.37,6.87,7.86
E07000084,Basingstoke and Deane,2022-23,7.32,6.45,8.19
E07000085,East Hampshire,2022-23,7.41,6.98,7.84
E07000086,Eastleigh,2022-23,7.29,6.76,7.82
E07000087,Fareham,2022-23,7.64,7.2,8.08
E07000088,Gosport,2022-23,7.67,7.16,8.18
