country,UID,friendly_ID,water_company_name,permitted_site_name,site_name_Wasc_operational_ENGLAND_ONLY,storm_discharge_asset_type,Receiving_Water_Environment_common_name,shellfish_water,bathing_water_ENGLAND_ONLY,lat,lon,Outlet_Discharge_NGR,RAMSAR,RAMSAR_site_name,SPA,SPA_site_name,SAC,SAC_site_name,SSSI,SSSI_site_name,total_spills_duration_hours,spill_count,pcon_name
ENGLAND,0x161E3B516ACAFD723493DA330E5588E0,NW85,Northumbrian Water,DERWENT WATER TERRACE CSO BT022,6NW800841,SO on sewer network,NORTH SEA,,Spittal,55.739559,-1.9639642,NU0236149575,Y,Lindisfarne,Y,"Northumbria Coast,Northumberland Marine",Y,Berwickshire & North Northumberland Coast,Y,Lindisfarne,14.8,7,Berwick-upon-Tweed
ENGLAND,0x27E467BDF0F31AFC0D7A20CF3D158F90,NW9,Northumbrian Water,SCREMERSTON NO 2 SPS,6NW800681,Storm discharge at pumping station,DOUPSTER BURN/NORTH SEA,,,55.739424,-1.963821,NU0237049560,Y,Lindisfarne,Y,"Northumberland Marine,Northumbria Coast",Y,Berwickshire & North Northumberland Coast,Y,Lindisfarne,534.3833333,71,Berwick-upon-Tweed
ENGLAND,0xFEBE5A0DEA46976EED4B398C616AE88F,NW66,Northumbrian Water,SCREMERSTON NO 1 SPS,6NW800680,Storm discharge at pumping station,DOUPSTER BURN/NORTH SEA,,,55.739424,-1.963821,NU0237049560,Y,Lindisfarne,Y,"Northumberland Marine,Northumbria Coast",Y,Berwickshire & North Northumberland Coast,Y,Lindisfarne,36.29333333,17,Berwick-upon-Tweed
ENGLAND,0x3002CA848C0168A595012DE07324A39A,NW80,Northumbrian Water,ALNMOUTH P STATION,6NW800476,Storm discharge at pumping station,RIVER ALN(SALINE ESTUARY),,,55.388944,-1.6176514,NU2432010620,N,,Y,Northumberland Marine,Y,North Northumberland Dunes,Y,"Alnmouth Saltmarsh and Dunes,Northumberland Shore",18.25055556,9,Berwick-upon-Tweed
ENGLAND,0xEE31D2125E5EAF185588CC0C65ED66AB,NW133,Northumbrian Water,JOLLY FISHERMAN CSO,6NW800217,SO on sewer network,NORTH SEA,,,55.472176,-1.5919324,NU2589519892,Y,Northumbria Coast,Y,"Northumberland Marine,Northumbria Coast",Y,Berwickshire & North Northumberland Coast,Y,"Northumberland Shore,Castle Point to Cullernose Point",0.5,1,Berwick-upon-Tweed
ENGLAND,0x28641455BF480D92EFE4AB6A2FC9C75C,NW64,Northumbrian Water,DUNSTAN SEWAGE TREATMENT WORKS,6NW800121,Inlet SO at WwTW,CRASTER BURN,,,55.473865,-1.5918358,NU2590020080,Y,Northumbria Coast,Y,"Northumbria Coast,Northumberland Marine",Y,Berwickshire & North Northumberland Coast,Y,"Castle Point to Cullernose Point,Northumberland Shore",37.51833333,7,Berwick-upon-Tweed
ENGLAND,0xC2BB2AB5EA4D95217B57E0F13E09A87E,NW92,Northumbrian Water,CRASTER NORTH SPS,6NW800480,Storm discharge at pumping station,NORTH SEA,,,55.473865,-1.5918358,NU2590020080,Y,Northumbria Coast,Y,"Northumbria Coast,Northumberland Marine",Y,Berwickshire & North Northumberland Coast,Y,"Northumberland Shore,Castle Point to Cullernose Point",10.81,58,Berwick-upon-Tweed
ENGLAND,0x9AC32C501121EC35C666DA5544B69A78,NW145,Northumbrian Water,HEUGH ROAD PUMPING STATION,6NW800479,Storm discharge at pumping station,NORTH SEA,,,55.471527,-1.5913854,NU2593019820,Y,Northumbria Coast,Y,"Northumbria Coast,Northumberland Marine",Y,Berwickshire & North Northumberland Coast,Y,"Castle Point to Cullernose Point,Northumberland Shore",0.033333333,1,Berwick-upon-Tweed
ENGLAND,0x58BCF6DCA474CC3C8F8CD0C1BD2AE437,NW54,Northumbrian Water,CRASTER SOUTH SPS,6NW800478,Storm discharge at pumping station,NORTH SEA,,,55.468648,-1.590308,NU2600019500,Y,Northumbria Coast,Y,"Northumberland Marine,Northumbria Coast",Y,Berwickshire & North Northumberland Coast,Y,"Castle Point to Cullernose Point,Northumberland Shore",56.80472222,73,Berwick-upon-Tweed
ENGLAND,0x0A318E7C461A655DDD04E667226F123C,NW28,Northumbrian Water,RAF BOULMER SEWAGE PUMPING STATION,6NW800467,Storm discharge at pumping station,NORTH SEA,,,55.434102,-1.5780228,NU2680015660,Y,Northumbria Coast,Y,"Northumberland Marine,Northumbria Coast",Y,Berwickshire & North Northumberland Coast,Y,"Northumberland Shore,Howick to Seaton Point",165.0188889,23,Berwick-upon-Tweed
ENGLAND,0x22BE3F65DBAA475324A891C69F8FC833,NW22,Northumbrian Water,BOULMER SEWAGE TREATMENT WORKS,6NW800869,Inlet SO at WwTW,NORTH SEA,,,55.434102,-1.5780228,NU2680015660,Y,Northumbria Coast,Y,"Northumbria Coast,Northumberland Marine",Y,Berwickshire & North Northumberland Coast,Y,"Northumberland Shore,Howick to Seaton Point",244.75,36,Berwick-upon-Tweed
ENGLAND,0x22AE0D36C4089DDA00851784047A9A9D,UU172,United Utilities,KILN BROW COMBINED SEWER OVERFLOW,Kiln Brow CSO,SO on sewer network,River Ehen,,St Bees,54.506339,-3.5204077,NY0165013400,N,,N,,Y,River Ehen,Y,River Ehen (Ennerdale Water to Keekle Confluence),0.37,8,Copeland
ENGLAND,0x52A1511F0D6739A35E1008F66B00FF33,UU136,United Utilities,KILN BROW PUMPING STATION,Kiln Brow WwPS,Storm Discharge at Pumping Station,River Ehen,,,54.506348,-3.520408,NY0165013401,N,,N,,Y,River Ehen,Y,River Ehen (Ennerdale Water to Keekle Confluence),7.24,7,Copeland
ENGLAND,0xF1B723983F43C994EEBD24B1316D5399,UU57,United Utilities,BROOKSIDE CSO,Brookside CSO,SO on sewer network,River Ehen,,,54.511459,-3.5134923,NY0211013960,N,,N,,Y,River Ehen,Y,River Ehen (Ennerdale Water to Keekle Confluence),258.54,77,Copeland
ENGLAND,0xD25BF00A4D41368AE9EBB89925CAF7AB,UU28,United Utilities,BLINDCRAKE WWTW,Blindcrake Wastewater Treatment Works (BLIND) (017570023),Storm Tank at WwTW,Gill Beck,,,54.697237,-3.3213162,NY1494034380,N,,N,,N,,Y,Gill Beck,675.46,76,Copeland
ENGLAND,0x6B0B14838245735D561826E2381D36B3,UU45,United Utilities,DUBWATH WASTEWATER TREATMENT WORKS,DUBWATH WwTW,Inlet SO at WwTW,Dubwath Beck,,,54.669409,-3.2417955,NY2001031190,N,,N,,Y,River Derwent & Bassenthwaite Lake,Y,Bassenthwaite Lake,388.31,92,Copeland
ENGLAND,0x297C3E63A35624B934E69BA62FA9714B,UU59,United Utilities,GRANGE BRIDGE PS GNGBO ALL0062,Grange Bridge PS,Storm Discharge at Pumping Station,River Derwent,,,54.548146,-3.1532327,NY2550017600,N,,N,,Y,"River Derwent & Bassenthwaite Lake,Borrowdale Woodland Complex",Y,"Lodore - Troutdale Woods,River Derwent and Tributaries",245.11,47,Copeland
ENGLAND,0x5CBA98B88CBE44085C541B860AA5B6BC,UU6,United Utilities,RAVENSTONEDALE STW,RAVENSTONEDALE WwTW,Inlet SO at WwTW,"Scandal Beck, a tributary of the River Eden",,,54.436044,-2.4313284,NY7212004600,N,,N,,Y,River Eden,Y,"River Eden and Tributaries,Scandal Beck and Stone Gill",2620.48,158,Penrith and The Border
ENGLAND,0xF52E6A96D18B8A5D03C25982112CA624,NW88,Northumbrian Water,GARRIGILL MANHOLE 9901 SSO,6NW800218,SO on sewer network,SOUTH TYNE,,,54.771166,-2.407126,NY7390641881,N,,N,,N,,Y,River South Tyne and Tynebottom Mine,13,5,Penrith and The Border
ENGLAND,0x6038F67CA703D63CB258191C31715EA4,NW13,Northumbrian Water,ROMALDKIRK SEWAGE DISPOSAL WORKS Storm Tank,6NW800711,Storm tank at WwTW,RIVER TEES,,,54.598579,-1.9984196,NZ0020022600,N,,N,,N,,Y,Shipley and Great Woods,372.3963889,48,Bishop Auckland
ENGLAND,0x4149D92A87776220EB1E72F13E2536DB,NW116,Northumbrian Water,CSO AT CHURCH DENE,6NW801010,SO on sewer network,RIVER TYNE ESTUARY,,,54.980182,-1.7666015,NZ1503665089,N,,N,,N,,Y,Ryton Willows,2.25,6,Blaydon
ENGLAND,0xCCED8B4C5E15DCF89C06184E80BE52A5,NW19,Northumbrian Water,LOCKHAUGH STW,6NW800738,Storm tank at WwTW,RIVER DERWENT,,,54.92449,-1.7300382,NZ1740058900,N,,N,,N,,Y,Gibside,271.4997222,42,Blaydon
ENGLAND,0xD63ECC2DED03CD227273F0FD1DCADCCB,NW31,Northumbrian Water,HADSTON SEWAGE PUMPING STATION THE LADY BURN,6NW800477(2),Storm discharge at pumping station,NORTH SEA/LADY BURN,,Druridge Bay North,55.285621,-1.5674751,NZ2757099140,N,,Y,Northumberland Marine,N,,Y,"Northumberland Shore,Hadston Links",158.895,24,Berwick-upon-Tweed
ENGLAND,0x26681C809C5A603038413240E0D94F44,NW48,Northumbrian Water,HADSTON SEWAGE PUMPING STATION THE North Sea,6NW800477(1),Storm discharge at pumping station,NORTH SEA/LADY BURN,,Druridge Bay North,55.285621,-1.5674751,NZ2757099140,N,,Y,Northumberland Marine,N,,Y,"Northumberland Shore,Hadston Links",77.66888889,14,Berwick-upon-Tweed
ENGLAND,0x0F3A5D180157600128531DFF46455360,NW79,Northumbrian Water,CRESSWELL SEWAGE PUMPING STATION,6NW800566,Storm discharge at pumping station,NORTH SEA,,,55.23725,-1.5332313,NZ2978193771,Y,Northumbria Coast,Y,"Northumbria Coast,Northumberland Marine",N,,Y,"Cresswell and Newbiggin Shores,Northumberland Shore",18.69861111,11,Berwick-upon-Tweed
ENGLAND,0x28849E4737A0DCB48CBF88224E386913,NW55,Northumbrian Water,NEWBIGGIN SSO (WILKIE TERRACE),6NW801650,SO on sewer network,NORTH SEA,,,55.183123,-1.5047956,NZ3163287760,Y,Northumbria Coast,Y,"Northumbria Coast,Northumberland Marine",N,,Y,"Cresswell and Newbiggin Shores,Northumberland Shore",54.5,7,Wansbeck
ENGLAND,0x37BDE38F2A9E6B66ED272E65B0546B27,NW72,Northumbrian Water,CASSOP STW,6NW800783,Storm tank at WwTW,CHAPMAN BECK,,,54.739148,-1.4715799,NZ3412038370,N,,N,,N,,Y,Cassop Vale,25.00138889,12,City of Durham
ENGLAND,0x866AE961F73CC250180371A5FE6F0679,NW40,Northumbrian Water,HETTON ROAD CSO SU33,6NW801446,SO on sewer network,ROUGH DENE BURN,,,54.831413,-1.4631063,NZ3458748641,N,,N,,N,,Y,Hetton Bogs,100.5,51,Houghton and Sunderland South
ENGLAND,0x0C45C2DEFBFC64E26DA0CE7F6C3CB49D,NW119,Northumbrian Water,NORTH PARADE HIGH LEVEL CSO (A52),6NW800384,SO on sewer network,NORTH SEA,,Whitley Bay,55.045068,-1.4420527,NZ3575072427,Y,Northumbria Coast,Y,Northumbria Coast,N,,Y,"Tynemouth to Seaton Sluice,Northumberland Shore",2.066944444,8,Tynemouth
ENGLAND,0x7C8575A70E63021AD04A59A88F736B65,NW134,Northumbrian Water,BROWNS POINT CSO,6NW800394,SO on sewer network,NORTH SEA,,Cullercoats,55.037045,-1.4307419,NZ3648071540,Y,Northumbria Coast,Y,Northumbria Coast,N,,Y,"Tynemouth to Seaton Sluice,Northumberland Shore",0.469444444,2,Tynemouth
ENGLAND,0xE348EAD76CC9579C88887E5EB94C66B9,NW124,Northumbrian Water,HAWTHORNE CLOSE STORAGE TANK,6NW801500,SO on sewer network,DALTON BURN,,,54.813176,-1.3812987,NZ3986046655,N,,N,,N,,Y,Hesledon Moor East,1.5,4,Easington
ENGLAND,0xB4D1344E7FCBFBA814A9701B77742E4F,NW109,Northumbrian Water,BARWICK STREET CSO,6NW801507,SO on sewer network,MURTON DENE,,,54.811753,-1.3788932,NZ4001646498,N,,N,,N,,Y,Hesledon Moor East,4.5,13,Easington
ENGLAND,0xD4CC0D73C4D6F05FD0DC01737A1BF09F,NW70,Northumbrian Water,BROTTON MILLHOLME DRIVE,6NW801622,SO on sewer network,TRIB OF MILLHOLME BECK,,Saltburn Pier,54.573029,-0.95365038,NZ6774120260,N,,N,,N,,Y,Saltburn Gill,26.76666667,4,Middlesbrough South and East Cleveland
ENGLAND,0x01BFCABEA605E30FED4C6C5773036670,YW1,Yorkshire Water,MALTON HOLMESFIELD SPS,MALTON HOLMESFLD/CSO,Storm discharge at pumping station,RIVER DERWENT,,,54.133896,-0.78706776,SE7935071574,N,,N,,Y,River Derwent,Y,River Derwent,961.3833333,116,Thirsk and Malton
ENGLAND,0x0A7D1C87F9EEEC2098368F08E593511B,YW10,Yorkshire Water,WHITBY ROAD BRIDGE CSO,WHITBY ROAD BDG/CSO,Storm discharge at pumping station,THE NORTH SEA,,Scarborough North Bay,54.30701,-0.41141418,TA0346091320,N,,N,,N,,Y,Iron Scar and Hundale Point to Scalby Ness,154.9997222,59,Scarborough and Whitby
ENGLAND,0x32D47B720ED7FBEFE83144CA3E0549CD,UU1,United Utilities,RAVENGLASS STW,RAVENGLASS WwTW,Storm Tank at WwTW,River Esk Estuary,Ravenglass,,54.351481,-3.4088229,SD0853096020,N,,Y,Morecambe Bay and Duddon Estuary,Y,Drigg Coast,Y,Drigg Coast,4603.89,204,Copeland
